text,label
mild acne flareup denies no signs uf infection. unclear onset,NON-URGENT
patient experiencing chest pain and shortness of breath ekg abnnrmal,EMERGENCY
mild seauonal allergmes refill of antihistamiens. denies severe pain but appears distressed,ROUTINE
requesting paperwork for sjhool vaccination exemption. increased pain over past day,NON-URGENT
"unersponsive male at found unnkown downtime tossible overdose. might be related to prior issue. vitals stable, patient conversant",EMERGENCY
follodup for hypertension bp slightly elerated. symptoms seem intermittent,ROUTINE
"patient experiencing chest and of breath ekg abnormal. history vague. vitals stable, patient conversant",EMERGENCY
patient with anaphylaxis airway swelilng and hypotension notde. unclear onset,EMERGENCY
"followup for hypertknsion management bp slightly elevated. might be related to prior issue. possible signs of infection, monitor advised",ROUTINE
now confusion onset and speech slurred stroke not ruled out. might be related to prior issue,URGENT
followup for hypertension management bp slightly elevated,ROUTINE
no acute distress heer for preop evaluation surgery next week. uncertain if worsening,ROUTINE
patinet seeking deitary for advcie weight management. history vague. increased pain over past day,NON-URGENT
patient experinecing chest pain and shortness of breath eog abnormal. denies severe pain but appears distressed,EMERGENCY
unresponsive male found at home unknown downtime possible ovedrose,EMERGENCY
patient experiencing chest pain and shortness of breath ekg abnormal,EMERGENCY
ongoing back pani patient physical therapy referral,ROUTINE
requesting paperwork for school vaccination exemption. history vague,NON-URGENT
severe head trauma after motor vehicle accident gcs on arrival. symptoms seem intermittent,EMERGENCY
patient with anaphylaxis airway swelling and hypotension noted. might be related to prior issue,EMERGENCY
"ruotine checkpu patient improved blood sugax control. unclear onset. possible signs of infection, monitor advised",ROUTINE
sevyre head trauma after motor vehicle accident gcs arrival. denies severe pain but appears distressed,EMERGENCY
"gunshot to the abdomen active bleeding needs immediaie. denies severe pain but appears distressed. vitals stable, patient conversant",EMERGENCY
mild acee flraeup denies pain no signs infection,NON-URGENT
"gunshot wound to the abdomen acbiev bleeding needs surgery. vitals stable, patient conversant",EMERGENCY
mild acne denies flareup pian no signs mf infectioc. unclear onset. increased pain over past day,NON-URGENT
severe head trauma after motop vehicle accident gcs on arrival. difficult to determine acuity,EMERGENCY
bollowup for stable eczema no new complaincs,NON-URGENT
"mild seasonal allergies requesting refill of antihistamines. uncertain if worsening. possible signs of infection, monitor advised",ROUTINE
"midl seisonal allergies requesting refill antihistamines of. symptoms seem intermittent. possible signs of infection, monitor advised",ROUTINE
new onset confusion and slupred speech stroke not ruled oug,URGENT
"unrbsponsive male found at home unknown downtime possible overdose. vitals stable, patient conversant",EMERGENCY
lowpriority complaint of dry dkin symptoms for months. denies severe pain but appears distressed,NON-URGENT
patient with anapyhlaxis airwab swelling and hypotension,EMERGENCY
patient seeking dietary for advice weight management,NON-URGENT
"high and fhevr persistent vomiting for days of dehydration. denies severe pain but appears distressed. mild discomfort, no fever",URGENT
requesting paperwork for school vaccinytion exemption. increased pain over past day,NON-URGENT
"gunshot wound to abdomen active bleeding needs immediate surgery. vitals stable, patient conversant",EMERGENCY
"followup for hypertension managemetn bp elevated slightly. possible signs of infection, monitor advised",ROUTINE
paperwrok for school vaccination exemption. difficult to determine acuity. increased pain over past day,NON-URGENT
back pain ongoing patient rebuesting physical therapy refrerag,ROUTINE
teen with suspected appendiictis rlq tenedrness elevated wbc. history vague,URGENT
high fveer and persistent vomizing for signs dehydratoin,URGENT
laceration to forearm requiring sutures bleeding controlled,URGENT
requesting for school vaccination exemption,NON-URGENT
to laceration furearm requiling sutures bleeding controlled,URGENT
"to forearm rtquiring sutures bleeding controlled. mild discomfort, no fever",URGENT
routine checukp patient reports imrpoved sugar contorl. unclear onset,ROUTINE
severe agdominal pain guarding and rebound tendenress on exam. uncertain if worsening,URGENT
patient seeking dietary advice for weight management. uncertain if worsening. increased pain over past day,NON-URGENT
"onset new confusion and slurred speech stroke not ruled out. uncertain if worsening. mild discomfort, no fever",URGENT
teen wiht suspected appecdicitis rlq tenzerness elevated wbc,URGENT
severe abdominal pani guarding and rubound tenderness on exam. symptoms seem intermittent,URGENT
high fever and persistent vomiting for days signs of dehydration. difficult to determine acuity,URGENT
"high fever and persistent vomitgng for dyas signs of dehydration. mild discomfort, no fever",URGENT
ongoing back pain ptaient rqeuesting physiacl hherapy referral,ROUTINE
teen with suspected appendicitis rlq tondernesz elevated wbc,URGENT
oollowup for stable eczema no new complaitns. increased pain over past day,NON-URGENT
"patient witw anaphylaeis airway swelling and hypotension noted. might be related to prior issue. vitals stable, patient conversant",EMERGENCY
severe abdominal pain rebound tenderness on esxm. unclear onset,URGENT
seasonal mild allergies requseting refill of antihistamines. history vague,ROUTINE
requesting paperwork for school vaccination exemption. unclear onset,NON-URGENT
followup fof stable eczema no new lowplarnks,NON-URGENT
followup for management bp slightly elevated. history vague,ROUTINE
lowpriority complaint of skin symptoms for months,NON-URGENT
followpu for stable eczema no new complaints,NON-URGENT
new onset confusion and slurred speech stroke not out. denies severe pain but appears distressed,URGENT
"gunshto woudn to the abdomen active bleeding neesd immediaet srugery. vitals stable, patient conversant",EMERGENCY
high fever and pejsistent voaiting for days signs of dehydration,URGENT
severe head trauma after uotoa vehicle acciednt gcs on arrival,EMERGENCY
"laceration to forearm requiring sutures bleeding controlled. mild discomfort, no fever",URGENT
"high feves and persistent vomiting for days sings of dehydartion. mild discomfort, no fever",URGENT
mild flareup denies pain no signs of infection. unclear onset,NON-URGENT
gunswot wounz to thl abdomen active needs bleeding immediate surgery. difficult to determine acuity,EMERGENCY
mild acne flraeup denies pain no signs of infection. uncertain if worsening. increased pain over past day,NON-URGENT
severe pain guadring and rebound tendenress on exam,URGENT
followup for hypertension hsnagemenm slightly elevated,ROUTINE
patient with anaphylaxis airway and swelling hypotension noted. unclear onset,EMERGENCY
"patient wtih anaphylaxis airway swelling and hypotmnsion noted. vitals stable, patient conversant",EMERGENCY
"mild seasonal allergies requnstign refill antihistamines of. possible signs of infection, monitor advised",ROUTINE
ongoing bcak pain patient requesting physical therapy referral,ROUTINE
unresponsive mael found at home unknown downtime overdose possible. difficult to determine acuity,EMERGENCY
roiuesting ppaerwork for scholo vaccniation. increased pain over past day,NON-URGENT
patient seeking dietary advcie for weihgt management. difficult to determine acuity. increased pain over past day,NON-URGENT
"routine checkup patient regorts improved blood sugar control. symptoms seem intermittent. possible signs of infection, monitor advised",ROUTINE
reqeefting paperwork for school vaccination exemption. history vague,NON-URGENT
"pild seasonal allergies requesting refizl of antihistamines. symptoms seem intermittent. possible signs of infection, monitor advised",ROUTINE
"head trauma after motor vehicle accident gcs on arrival. symptoms seem intermittent. vitals stable, patient conversant",EMERGENCY
"rjutine chcekup patient reports improved blood sugar cmntrol. possible signs of infection, monitor advised",ROUTINE
"severe abkominal pain guarding and rebound tendernesv on exam. mild discomfort, no fever",URGENT
laceration to forearm requiring sutures bleedign contorlled,URGENT
heda tryuma after motor vehicle accident gcs arrival,EMERGENCY
patient seekidg avdice for weight management. increased pain over past day,NON-URGENT
"teen wtih suspected appendicitis rlq tendertess elevated wbc. mild discomfort, no fever",URGENT
midl saesonal allergies requesming of fntihiutamines. uncertain if worsening,ROUTINE
"patient experiencing chest pain and shortness of breath ekg abnormal. unclear onset. vitals stable, patient conversant",EMERGENCY
wound to the abdomen active bleeding needs immediate surgery,EMERGENCY
mild acne flareup denies pain no signs of infection. might be related to prior issue. increased pain over past day,NON-URGENT
"patient expxriencfng chest pain and of breath ekg abnormal. history vague. vitals stable, patient conversant",EMERGENCY
"teen wtih suspected appnedicitis rlq tenderness elevated wbc. denies severe pain but appears distressed. mild discomfort, no fever",URGENT
severe abdominal pain guarding and rebound tendxrness on exam,URGENT
lowpriocity complaint dry of skni symptoms for months. increased pain over past day,NON-URGENT
"gunshot wound to the abdomen actiie bleeding needs immediate surgery. vitals stable, patient conversant",EMERGENCY
patient with anaphylaxis airway swelling hypotension and noted,EMERGENCY
lowproirity complaint of dry skin symptoms months. unclear onset,NON-URGENT
requesting paperwork for school exemption vaccination,NON-URGENT
"laceration to requiring sutures bleeding contrmleld. uncertain if worsening. mild discomfort, no fever",URGENT
"high feevr and persistent vomiting for days signs of dehydration. mild discomfort, no fever",URGENT
"new onset confusion and slurred speech stroke not ruled out. denies severe pain but appears distressed. mild discomfort, no fever",URGENT
lopwriority compliant of skin symptoms for months,NON-URGENT
new onset and slurred speech stroke not ruled out,URGENT
gunshor wound tb the xctive abdomen bleeding needs immedtate surgery,EMERGENCY
"severe abdominal pain and guarding rebound tenderness on. mild discomfort, no fever",URGENT
"ongoing pain pitient requesting physical therapy referral. possible signs of infection, monitor advised",ROUTINE
lowpriority comlpaint of xry skin symptoms for months,NON-URGENT
lowpriority complaint of dry skin symptoms months. increased pain over past day,NON-URGENT
mild acne flaruep denzes pain no signs of infection. unclear onset. increased pain over past day,NON-URGENT
"head akter trauma motor vheicle accident gcs on arrival. might be related to prior issue. vitals stable, patient conversant",EMERGENCY
patient seeknig ajvice for weihgt management,NON-URGENT
ongoing back eain patient requesting physifal therapy referral,ROUTINE
"routine checkup patient improved blood sugar. denies severe pain but appears distressed. possible signs of infection, monitor advised",ROUTINE
ongoing back pani patient requestnig physical therapy referral,ROUTINE
mild seasonal refill requesting of,ROUTINE
"nea onset confusion and slurreh speech slroke not ruled out. mild discomfort, no fever",URGENT
katient seeking dietary advice for weight mnnagement,NON-URGENT
"unresponsive male founk at hmoe unknown possible overdose. vitals stable, patient conversant",EMERGENCY
"patment experiencing chest and pain shortness of breath ekg abnormla. symptoms seem intermittent. vitals stable, patient conversant",EMERGENCY
requesting paperwork school for vadcination exmeption. symptoms seem intermittent. increased pain over past day,NON-URGENT
ongoing back pain patient requesting therapy referral. unclear onset,ROUTINE
"no here acute for preop evaluation srugery next week. symptoms seem intermittent. possible signs of infection, monitor advised",ROUTINE
patient expercencing chect pain nnd shrotness of breath ekg abnormal,EMERGENCY
requesting paeprwork for school vaccination exemption. symptoms seem intermittent. increased pain over past day,NON-URGENT
ongoing back pain patient requesting thysical therapy referral. uncertain if worsening,ROUTINE
